Adapton composable  demand-driven incremental computation,Hammer, Matthew A
Adapton composable  demand-driven incremental computation,Phang, Khoo Yit
Adapton composable  demand-driven incremental computation,Hicks, Michael
Adapton composable  demand-driven incremental computation,Foster, Jeffrey S
Don't sweat the small stuff formal verification of C code without the pain,Greenaway, David
Don't sweat the small stuff formal verification of C code without the pain,Lim, Japheth
Don't sweat the small stuff formal verification of C code without the pain,Andronick, June
Don't sweat the small stuff formal verification of C code without the pain,Klein, Gerwin
DoubleChecker efficient sound and precise atomicity checking,Biswas, Swarnendu
DoubleChecker efficient sound and precise atomicity checking,Huang, Jipeng
DoubleChecker efficient sound and precise atomicity checking,Sengupta, Aritra
DoubleChecker efficient sound and precise atomicity checking,Bond, Michael D
End-to-end verification of stack-space bounds for C programs,Carbonneaux, Quentin
End-to-end verification of stack-space bounds for C programs,Hoffmann, Jan
End-to-end verification of stack-space bounds for C programs,Ramananandro, Tahina
End-to-end verification of stack-space bounds for C programs,Shao, Zhong
Expressing and verifying probabilistic assertions,Sampson, Adrian
Expressing and verifying probabilistic assertions,Panchekha, Pavel
Expressing and verifying probabilistic assertions,Mytkowicz, Todd
Expressing and verifying probabilistic assertions,McKinley, Kathryn S
Expressing and verifying probabilistic assertions,Grossman, Dan
Expressing and verifying probabilistic assertions,Ceze, Luis
FlowDroid precise context  flow  field  object-sensitive and lifecycle-aware taint analysis for Android apps,Arzt, Steven
FlowDroid precise context  flow  field  object-sensitive and lifecycle-aware taint analysis for Android apps,Rasthofer, Siegfried
FlowDroid precise context  flow  field  object-sensitive and lifecycle-aware taint analysis for Android apps,Fritz, Christian
FlowDroid precise context  flow  field  object-sensitive and lifecycle-aware taint analysis for Android apps,Bodden, Eric
FlowDroid precise context  flow  field  object-sensitive and lifecycle-aware taint analysis for Android apps,Bartel, Alexandre
FlowDroid precise context  flow  field  object-sensitive and lifecycle-aware taint analysis for Android apps,Klein, Jacques
FlowDroid precise context  flow  field  object-sensitive and lifecycle-aware taint analysis for Android apps,Le Traon, Yves
FlowDroid precise context  flow  field  object-sensitive and lifecycle-aware taint analysis for Android apps,Octeau, Damien
FlowDroid precise context  flow  field  object-sensitive and lifecycle-aware taint analysis for Android apps,McDaniel, Patrick
Introspective analysis context-sensitivity  across the board,Smaragdakis, Yannis
Introspective analysis context-sensitivity  across the board,Kastrinis, George
Introspective analysis context-sensitivity  across the board,Balatsouras, George
Taming the parallel effect zoo extensible deterministic parallelism with LVish,Kuper, Lindsey
Taming the parallel effect zoo extensible deterministic parallelism with LVish,Todd, Aaron
Taming the parallel effect zoo extensible deterministic parallelism with LVish,Tobin-Hochstadt, Sam
Taming the parallel effect zoo extensible deterministic parallelism with LVish,Newton, Ryan R
Test-driven repair of data races in structured parallel programs,Surendran, Rishi
Test-driven repair of data races in structured parallel programs,Raman, Raghavan
Test-driven repair of data races in structured parallel programs,Chaudhuri, Swarat
Test-driven repair of data races in structured parallel programs,Mellor-Crummey, John
Test-driven repair of data races in structured parallel programs,Sarkar, Vivek
Doppio breaking the browser language barrier,Vilk, John
Doppio breaking the browser language barrier,Berger, Emery D
Dynamic space limits for Haskell,Yang, Edward Z
Dynamic space limits for Haskell,Mazi{\`e}res, David
